move,look,take,give,destroy,attack,throw,jump
move,look,take,give,destroy,attack,throw,jump
walk,investigate,grab,release,break,shoot,toss,leap
run,inspect,hold,pass,smash,stab,switch,hop
go to,seem,fill,reach,evicerate,slash,flip,skip
travel,appear,occupy,hand,tear apart,fire,confuse,pass over
go,expect,carry,turn over,split apart,assault,fox,skip over
locomote,await,pack,pass on,fracture,aggress,fuddle,derail
displace,wait,use up,consecrate,rupture,assail,befuddle,rise
be active,search,accept,dedicate,ruin,set on,confound,climb up
make a motion,front,read,devote,destruct,round,bedevil,jumpstart
motivate,face,bring,commit,put down,snipe,discombobulate,jump-start
propel,count,convey,grant,demolish,lash out,project,leap out
actuate,depend,lead,yield,,,contrive,jump out
prompt,bet,direct,move over,,,cast,stick out
incite,calculate,guide,give way,,,hurl,stand out
affect,reckon,conduct,ease up,,,give,jump off
impress,attend,get hold of,render,,,shed,bound
strike,take care,have,return,,,cast off,spring
act,see,claim,generate,,,shake off,startle
proceed,,contain,present,,,throw away,start
,,consider,gift,,,throw off,chute
,,deal,sacrifice,,,drop,parachute
,,look at,pay,,,bewilder,alternate
,,exact,afford,,,bemuse,
,,make,impart,,,hold,
,,admit,leave,,,have,
,,take on,throw,,,make,
,,remove,contribute,,,thrust,
,,take away,chip in,,,,
,,withdraw,kick in,,,,
,,learn,apply,,,,
,,study,establish,,,,
,,consume,feed,,,,
,,take in,collapse,,,,
,,ingest,cave in,,,,
,,assume,fall in,,,,
,,strike,founder,,,,
,,take up,break,,,,
,,lease,open,,,,
,,hire,hold,,,,
,,rent,have,,,,
,,engage,make,,,,
,,charter,,,,,
,,film,,,,,
,,shoot,,,,,
,,drive,,,,,
,,adopt,,,,,
,,acquire,,,,,
,,subscribe,,,,,
,,subscribe to,,,,,
,,aim,,,,,
,,train,,,,,
,,take aim,,,,,
,,necessitate,,,,,
,,postulate,,,,,
,,ask,,,,,
,,require,,,,,
,,need,,,,,
,,involve,,,,,
,,demand,,,,,
,,call for,,,,,
,,choose,,,,,
,,select,,,,,
,,pick out,,,,,
,,contract,,,,,
,,get,,,,,
,,submit,,,,,
